run,modelname,treatname,angle,spd,channel,variable,mean
20120608135349,nothing,lrg,0,120,V,mu_2,0.592354166667
20120608135349,nothing,lrg,0,120,W,mu_3,-0.12934375
20120608135349,nothing,lrg,0,220,U,mu_1,0.153155061643
20120608135349,nothing,lrg,0,220,V,mu_2,1.2512293801
20120608135349,nothing,lrg,0,220,W,mu_3,-0.150953290502
20120608135349,nothing,lrg,0,250,U,mu_1,0.124400069457
20120608135349,nothing,lrg,0,250,V,mu_2,1.40197777392
20120608135349,nothing,lrg,0,250,W,mu_3,-0.185066851884
20120608135349,nothing,lrg,0,130,U,mu_1,0.111889216878
20120608135349,nothing,lrg,0,130,V,mu_2,0.648175030387
20120608135349,nothing,lrg,0,130,W,mu_3,-0.129414828963
20120608135349,nothing,lrg,0,20,U,mu_1,0.0322135416667
20120608135349,nothing,lrg,0,20,V,mu_2,-0.0113975694444
20120608135349,nothing,lrg,0,20,W,mu_3,-0.00940625
20120608135349,nothing,lrg,0,60,U,mu_1,0.0347560340337
20120608135349,nothing,lrg,0,60,V,mu_2,0.199729119639
20120608135349,nothing,lrg,0,60,W,mu_3,-0.0942542108005
20120608135349,nothing,lrg,0,190,U,mu_1,0.165259593679
20120608135349,nothing,lrg,0,190,V,mu_2,1.05657753082
20120608135349,nothing,lrg,0,190,W,mu_3,-0.138150720611
20120608135349,nothing,lrg,0,140,U,mu_1,0.111772569444
20120608135349,nothing,lrg,0,140,V,mu_2,0.723666666667
20120608135349,nothing,lrg,0,140,W,mu_3,-0.133850694444
20120608135349,nothing,lrg,0,10,U,mu_1,0.00393923611111
20120608135349,nothing,lrg,0,10,V,mu_2,-0.0128628472222
20120608135349,nothing,lrg,0,10,W,mu_3,0.001421875
20120608135349,nothing,lrg,0,50,U,mu_1,0.0348003472222
20120608135349,nothing,lrg,0,50,V,mu_2,0.121526041667
20120608135349,nothing,lrg,0,50,W,mu_3,-0.07978125
20120608135349,nothing,lrg,0,100,U,mu_1,0.0645216183365
20120608135349,nothing,lrg,0,100,V,mu_2,0.477242576836
20120608135349,nothing,lrg,0,100,W,mu_3,-0.130008682063
20120608135349,nothing,lrg,0,0,U,mu_1,0.0341257162702
20120608135349,nothing,lrg,0,0,V,mu_2,-0.0565393297447
20120608135349,nothing,lrg,0,0,W,mu_3,-0.0124900156277
20120608135349,nothing,lrg,0,70,U,mu_1,0.0313439833304
20120608135349,nothing,lrg,0,70,V,mu_2,0.269788157666
20120608135349,nothing,lrg,0,70,W,mu_3,-0.108546622678
20120608135349,nothing,lrg,0,90,U,mu_1,0.0553794061469
20120608135349,nothing,lrg,0,90,V,mu_2,0.418774092724
20120608135349,nothing,lrg,0,90,W,mu_3,-0.116721653065
20120609124131,nothing,fine,0,20,U,mu_1,0.0372061121723
20120609124131,nothing,fine,0,20,V,mu_2,-0.249057127974
