run,modelname,treatname,angle,spd,channel,variable,mean
20120521113654,rect690,med,0,200,FY,mu_2,-0.00829121673782
20120521113654,rect690,med,0,200,FZ,mu_3,0.0118077797777
20120521113654,rect690,med,0,200,TX,mu_4,0.120849939161
20120521113654,rect690,med,0,200,TY,mu_5,0.0436501453838
20120521113654,rect690,med,0,200,TZ,mu_6,-0.0710434614892
20120515174648,rect2,coarse,0,200,FX,mu_1,-0.000307022357133
20120515174648,rect2,coarse,0,200,FY,mu_2,-0.00465739174885
20120515174648,rect2,coarse,0,200,FZ,mu_3,-0.0145565217029
20120515174648,rect2,coarse,0,200,TX,mu_4,0.486283293836
20120515174648,rect2,coarse,0,200,TY,mu_5,-0.0297404048472
20120515174648,rect2,coarse,0,200,TZ,mu_6,-0.00823633394885
20120515174648,rect2,coarse,0,100,FX,mu_1,-0.00160767348993
20120515174648,rect2,coarse,0,100,FY,mu_2,-0.00240849809296
20120515174648,rect2,coarse,0,100,FZ,mu_3,0.0037925833938
20120515174648,rect2,coarse,0,100,TX,mu_4,0.0675523745257
20120515174648,rect2,coarse,0,100,TY,mu_5,-0.00153502038305
20120515174648,rect2,coarse,0,100,TZ,mu_6,0.00162186309948
20120515174648,rect2,coarse,0,250,FX,mu_1,-0.00168424477665
20120515174648,rect2,coarse,0,250,FY,mu_2,-0.00748735787972
20120515174648,rect2,coarse,0,250,FZ,mu_3,-0.0196294321049
20120515174648,rect2,coarse,0,250,TX,mu_4,0.752235645802
20120515174648,rect2,coarse,0,250,TY,mu_5,-0.038130046042
20120515174648,rect2,coarse,0,250,TZ,mu_6,0.00717168598703
20120515174648,rect2,coarse,0,50,FX,mu_1,-0.000336102711256
20120515174648,rect2,coarse,0,50,FY,mu_2,-0.001087083612
20120515174648,rect2,coarse,0,50,FZ,mu_3,-3.55383724948e-05
20120515174648,rect2,coarse,0,50,TX,mu_4,0.00131658299316
20120515174648,rect2,coarse,0,50,TY,mu_5,-0.00263289463519
20120515174648,rect2,coarse,0,50,TZ,mu_6,0.0163127395707
20120515174648,rect2,coarse,0,0,FX,mu_1,0.000819530042979
20120515174648,rect2,coarse,0,0,FY,mu_2,0.000950616822935
20120515174648,rect2,coarse,0,0,FZ,mu_3,-0.000712327379632
20120515174648,rect2,coarse,0,0,TX,mu_4,0.0107814730411
20120515174648,rect2,coarse,0,0,TY,mu_5,-0.00275362118401
20120515174648,rect2,coarse,0,0,TZ,mu_6,-0.0114146735553
20120515174648,rect2,coarse,0,150,FX,mu_1,-0.00136863818732
20120515174648,rect2,coarse,0,150,FY,mu_2,-0.00323514500457
20120515174648,rect2,coarse,0,150,FZ,mu_3,-0.0126644554611
20120515174648,rect2,coarse,0,150,TX,mu_4,0.231277900933
