run,modelname,treatname,angle,spd,t,channel,value
20120521164435,noisefloor,no,0,0,28.59375,V,-0.01
20120521164435,noisefloor,no,0,0,28.625,V,-0.01
20120521164435,noisefloor,no,0,0,28.65625,V,-0.01
20120521164435,noisefloor,no,0,0,28.6875,V,-0.01
20120521164435,noisefloor,no,0,0,28.71875,V,-0.01
20120521164435,noisefloor,no,0,0,28.75,V,-0.01
20120521164435,noisefloor,no,0,0,28.78125,V,-0.01
20120521164435,noisefloor,no,0,0,28.8125,V,-0.01
20120521164435,noisefloor,no,0,0,28.84375,V,-0.01
20120521164435,noisefloor,no,0,0,28.875,V,-0.01
20120521164435,noisefloor,no,0,0,28.90625,V,-0.01
20120521164435,noisefloor,no,0,0,28.9375,V,-0.01
20120521164435,noisefloor,no,0,0,28.96875,V,-0.01
20120521164435,noisefloor,no,0,0,29.0,V,-0.01
20120521164435,noisefloor,no,0,0,29.03125,V,-0.01
20120521164435,noisefloor,no,0,0,29.0625,V,-0.01
20120521164435,noisefloor,no,0,0,29.09375,V,-0.01
20120521164435,noisefloor,no,0,0,29.125,V,-0.01
20120521164435,noisefloor,no,0,0,29.15625,V,-0.01
20120521164435,noisefloor,no,0,0,29.1875,V,-0.01
20120521164435,noisefloor,no,0,0,29.21875,V,-0.01
20120521164435,noisefloor,no,0,0,29.25,V,-0.01
20120521164435,noisefloor,no,0,0,29.28125,V,-0.01
20120521164435,noisefloor,no,0,0,29.3125,V,-0.01
20120521164435,noisefloor,no,0,0,29.34375,V,-0.01
20120521164435,noisefloor,no,0,0,29.375,V,-0.01
20120521164435,noisefloor,no,0,0,29.40625,V,-0.01
20120521164435,noisefloor,no,0,0,29.4375,V,-0.01
20120521164435,noisefloor,no,0,0,29.46875,V,-0.01
20120521164435,noisefloor,no,0,0,29.5,V,-0.01
20120521164435,noisefloor,no,0,0,29.53125,V,-0.01
20120521164435,noisefloor,no,0,0,29.5625,V,-0.01
20120521164435,noisefloor,no,0,0,29.59375,V,-0.01
20120521164435,noisefloor,no,0,0,29.625,V,-0.01
20120521164435,noisefloor,no,0,0,29.65625,V,-0.01
20120521164435,noisefloor,no,0,0,29.6875,V,-0.01
20120521164435,noisefloor,no,0,0,29.71875,V,-0.01
20120521164435,noisefloor,no,0,0,29.75,V,-0.01
20120521164435,noisefloor,no,0,0,29.78125,V,-0.01
20120521164435,noisefloor,no,0,0,29.8125,V,-0.01
20120521164435,noisefloor,no,0,0,29.84375,V,-0.01
20120521164435,noisefloor,no,0,0,29.875,V,-0.01
20120521164435,noisefloor,no,0,0,29.90625,V,-0.01
20120521164435,noisefloor,no,0,0,29.9375,V,-0.01
20120521164435,noisefloor,no,0,0,29.96875,V,-0.01
20120521164435,noisefloor,no,0,0,30.0,V,-0.01
20120521164435,noisefloor,no,0,0,30.03125,V,-0.01
20120521164435,noisefloor,no,0,0,30.0625,V,-0.01
20120521164435,noisefloor,no,0,0,30.09375,V,-0.01
20120521164435,noisefloor,no,0,0,30.125,V,-0.01
20120521164435,noisefloor,no,0,0,30.15625,V,-0.01
20120521164435,noisefloor,no,0,0,30.1875,V,-0.01
20120521164435,noisefloor,no,0,0,30.21875,V,-0.01
20120521164435,noisefloor,no,0,0,30.25,V,-0.01
20120521164435,noisefloor,no,0,0,30.28125,V,-0.01
20120521164435,noisefloor,no,0,0,30.3125,V,-0.01
20120521164435,noisefloor,no,0,0,30.34375,V,-0.01
20120521164435,noisefloor,no,0,0,30.375,V,-0.01
20120521164435,noisefloor,no,0,0,30.40625,V,-0.01
20120521164435,noisefloor,no,0,0,30.4375,V,-0.01
20120521164435,noisefloor,no,0,0,30.46875,V,-0.01
20120521164435,noisefloor,no,0,0,30.5,V,-0.01
20120521164435,noisefloor,no,0,0,30.53125,V,-0.01
20120521164435,noisefloor,no,0,0,30.5625,V,-0.01
20120521164435,noisefloor,no,0,0,30.59375,V,-0.01
20120521164435,noisefloor,no,0,0,30.625,V,-0.01
20120521164435,noisefloor,no,0,0,30.65625,V,-0.01
