run,modelname,treatname,angle,spd,centerfreq,value
20120628072400,nothing,coarse,0,100,128.0,1.05903994169e-05
20120628072400,nothing,coarse,0,100,256.0,1.7975481938e-06
20120628072400,nothing,coarse,0,100,512.0,5.78601756779e-06
20120628072400,nothing,coarse,0,100,1024.0,1.66997610646e-06
20120628072400,nothing,coarse,0,100,2048.0,2.6130219328e-06
20120628072400,nothing,coarse,0,100,4096.0,1.28314219247e-07
20120628072400,nothing,coarse,0,100,8192.0,9.74584254025e-08
20120628072400,nothing,coarse,0,100,16384.0,4.23243014104e-08
20120628072400,nothing,sml,0,250,8.0,0.00584886735128
20120628072400,nothing,sml,0,250,16.0,0.022257275731
20120628072400,nothing,sml,0,250,32.0,0.0742722392973
20120628072400,nothing,sml,0,250,64.0,0.186979063128
20120628072400,nothing,sml,0,250,128.0,0.0881151170433
20120628072400,nothing,sml,0,250,256.0,0.0262865963506
20120628072400,nothing,sml,0,250,512.0,0.00608781587575
20120628072400,nothing,sml,0,250,1024.0,0.000667338183437
20120628072400,nothing,sml,0,250,2048.0,0.000102203221174
20120628072400,nothing,sml,0,250,4096.0,1.36121821625e-05
20120628072400,nothing,sml,0,250,8192.0,2.54246074379e-06
20120628072400,nothing,sml,0,250,16384.0,2.77250591524e-06
20120628072400,nothing,coarse,0,50,8.0,4.29951528752e-06
20120628072400,nothing,coarse,0,50,16.0,9.57108800271e-06
20120628072400,nothing,coarse,0,50,32.0,5.35984855498e-06
20120628072400,nothing,coarse,0,50,64.0,1.33189848079e-05
20120628072400,nothing,coarse,0,50,128.0,2.33549608217e-06
20120628072400,nothing,coarse,0,50,256.0,8.37343617361e-07
20120628072400,nothing,coarse,0,50,512.0,3.11143350128e-06
20120628072400,nothing,coarse,0,50,1024.0,3.10647232068e-07
20120628072400,nothing,coarse,0,50,2048.0,5.00856386947e-07
20120628072400,nothing,coarse,0,50,4096.0,9.53943991835e-08
20120628072400,nothing,coarse,0,50,8192.0,7.25682701304e-08
20120628072400,nothing,coarse,0,50,16384.0,1.67205466814e-08
20120628072400,nothing,sml,0,50,8.0,4.32784996364e-05
20120628072400,nothing,sml,0,50,16.0,6.92796532209e-05
20120628072400,nothing,sml,0,50,32.0,2.80353558281e-05
20120628072400,nothing,sml,0,50,64.0,1.72702459025e-05
20120628072400,nothing,sml,0,50,128.0,2.53858102333e-06
20120628072400,nothing,sml,0,50,256.0,9.74278658295e-07
20120628072400,nothing,sml,0,50,512.0,3.14841931365e-06
20120628072400,nothing,sml,0,50,1024.0,2.77409855283e-07
20120628072400,nothing,sml,0,50,2048.0,4.82098921543e-07
20120628072400,nothing,sml,0,50,4096.0,9.81436436e-08
20120628072400,nothing,sml,0,50,8192.0,9.74453119152e-08
20120628072400,nothing,sml,0,50,16384.0,2.4046974006e-08
20120628072400,nothing,sml,0,100,8.0,0.000941809434034
20120628072400,nothing,sml,0,100,16.0,0.00422303235246
20120628072400,nothing,sml,0,100,32.0,0.00351712396703
20120628072400,nothing,sml,0,100,64.0,0.000786393629786
20120628072400,nothing,sml,0,100,128.0,4.92679814199e-05
20120628072400,nothing,sml,0,100,256.0,2.65442937525e-06
20120628072400,nothing,sml,0,100,512.0,5.73301777412e-06
20120628072400,nothing,sml,0,100,1024.0,1.46878147459e-06
20120628072400,nothing,sml,0,100,2048.0,2.19804546292e-06
20120628072400,nothing,sml,0,100,4096.0,3.09653101778e-07
20120628072400,nothing,sml,0,100,8192.0,3.41768219455e-07
20120628072400,nothing,sml,0,100,16384.0,5.87167654375e-08
20120628072400,nothing,coarse,0,250,8.0,0.000743915887664
20120628072400,nothing,coarse,0,250,16.0,0.00206338509891
20120628072400,nothing,coarse,0,250,32.0,0.00601000513819
20120628072400,nothing,coarse,0,250,64.0,0.0160959883371
20120628072400,nothing,coarse,0,250,128.0,0.0124707432643
20120628072400,nothing,coarse,0,250,256.0,0.00294326085147
20120628072400,nothing,coarse,0,250,512.0,0.000205301422962
20120628072400,nothing,coarse,0,250,1024.0,5.11794016057e-05
20120628072400,nothing,coarse,0,250,2048.0,0.000111186696158
